Event Id,Start Date,Start Hour,End Date,End Hour,min. Dst
1,1995/03/26,0500,1995/03/26,2300,−107
2,1995/04/07,1300,1995/04/09,0900,−149
3,1995/09/27,0100,1995/09/28,0400,−108
4,1995/10/18,1300,1995/10/19,1400,−127
5,1996/10/22,2200,1996/10/23,1100,−105
6,1997/04/21,1000,1997/04/22,0900,−107
7,1997/05/15,0300,1997/05/16,0000,−115
8,1997/10/10,1800,1997/10/11,1900,−130
9,1997/11/07,0000,1997/11/07,1800,−110
10,1997/11/22,2100,1997/11/24,0400,−108
11,2005/06/12,1700,2005/06/13,1900,−106
12,2005/08/31,1200,2005/09/01,1200,−122
13,2006/12/14,2100,2006/12/16,0300,−162
14,2011/09/26,1400,2011/09/27,1200,−101
15,2011/10/24,2000,2011/10/25,1400,−132
16,2012/03/08,1200,2012/03/10,1600,−131
17,2012/04/23,1100,2012/04/24,1300,−108
18,2012/07/15,0100,2012/07/16,2300,−127
19,2012/09/30,1300,2012/10/01,1800,−119
20,2012/10/08,0200,2012/10/09,1700,−105
21,2012/11/13,1800,2012/11/14,1800,−108
22,2013/03/17,0700,2013/03/18,1000,−132
23,2013/05/31,1800,2013/06/01,2000,−119
24,2014/02/18,1500,2014/02/19,1600,−112
